id,genus
520,1
3800,1
3289,1
2695,1
4922,1
1934,1
3704,1
4017,1
3331,1
173,1
2983,1
116,1
4938,1
3524,1
2026,0
346,1
631,1
3588,1
3321,1
2237,1
1180,1
3604,0
1725,1
4067,1
2675,1
728,1
1815,1
1722,1
3963,0
1377,1
4184,0
408,0
432,1
3665,0
1506,1
1705,1
4636,1
2574,1
1649,1
4868,1
4257,1
740,1
2110,1
4305,1
2151,1
2194,0
689,1
1425,1
150,1
524,1
130,0
151,1
1066,1
571,1
92,0
3789,1
829,1
758,1
2442,1
4031,1
347,1
717,1
181,0
1086,1
1335,1
351,1
670,1
4947,0
4307,1
2512,0
2724,1
483,1
398,1
1369,0
682,1
1800,1
1903,1
3251,1
4450,1
2713,1
506,1
2837,1
4674,1
3121,0
4153,1
652,1
818,1
4943,1
3380,1
889,1
4466,1
1247,1
624,1
2095,1
2780,0
123,0
2599,1
2656,0
1983,1
4765,1
4582,0
4749,1
4914,0
4744,1
4315,0
2895,1
4869,1
2396,1
3303,1
1101,1
1054,0
2760,1
3216,1
2936,1
3356,1
4578,1
3495,1
4632,1
4368,0
3845,1
4011,1
1902,1
4394,0
830,1
4004,1
2784,0
3106,0
1331,1
1758,1
1478,1
2910,0
1503,1
3350,1
822,1
452,1
4225,1
4833,1
3548,0
256,1
4021,1
3998,0
2632,1
3179,0
58,1
4232,1
1320,1
2400,1
3662,0
773,1
1318,1
1741,1
3338,1
1898,1
467,1
500,0
2503,1
326,1
1206,1
2773,0
2335,1
705,1
3970,1
2889,1
2949,0
544,0
3086,0
2397,1
960,1
1321,1
1596,1
2168,0
3874,1
2710,1
2044,1
2090,1
1632,1
251,1
1603,1
2246,1
1152,1
2753,0
1482,0
1440,1
2392,1
3067,1
3146,0
2066,1
4810,1
2917,1
2370,1
3745,1
395,1
496,0
3911,0
2578,1
1585,1
65,1
4062,1
4487,0
1479,1
4019,1
2485,1
3489,1
859,1
2830,1
479,1
902,1
898,0
2466,1
140,0
3834,1
2683,0
2232,1
4565,1
4927,1
2944,1
1978,1
4724,1
2182,0
2333,0
3738,1
275,1
472,1
4795,0
1397,1
3879,1
3217,1
231,1
4360,1
3690,0
272,1
3368,1
3656,1
2329,1
4236,1
1187,1
940,1
3345,1
2495,0
913,0
935,1
366,0
1261,0
3802,1
1578,1
3490,0
4109,0
33,1
20,1
384,1
1935,0
4258,1
3201,0
2829,1
2715,0
2618,1
3366,0
4260,0
3166,1
844,1
2673,1
3457,1
389,1
4085,1
1668,1
4324,0
2887,0
4566,1
2600,1
1680,1
4386,0
972,1
3595,1
3377,1
358,1
1661,1
3561,1
3772,0
1522,1
1255,1
1743,1
4876,1
4111,1
1600,1
1428,1
3285,1
565,1
2149,0
1636,1
4777,1
4569,1
1361,1
2857,1
4123,1
2692,1
3639,1
3241,1
495,1
4363,1
1069,1
3182,1
1865,0
3196,1
2530,1
4336,1
2588,1
364,1
4844,1
3727,1
3336,0
4402,1
1270,0
4168,1
4235,1
4452,1
1499,1
2141,1
3286,0
2196,1
2326,1
4083,0
1924,0
2218,1
3720,0
4242,1
4120,1
1151,0
3305,1
448,1
245,1
1678,0
1260,1
126,0
4399,1
1547,1
2354,1
4567,1
3402,1
4570,0
2192,0
4541,1
1372,1
1304,0
4837,1
418,1
1879,0
1672,0
3003,0
4204,1
91,1
2602,1
3054,1
1195,1
4555,1
341,1
3612,1
3972,1
3076,1
951,1
402,1
1496,1
2162,0
4279,1
4303,1
3386,1
4076,1
903,1
1415,1
3496,1
3875,0
963,1
2975,0
2199,0
2278,1
655,0
3794,1
334,1
2286,1
228,0
53,1
1747,1
2449,0
895,1
2456,1
562,1
204,1
4952,0
3237,1
4345,1
3901,0
4904,1
3378,1
2283,1
1186,1
1883,1
1424,0
2881,1
22,1
3670,1
2882,1
185,1
3225,1
2923,1
4396,1
1303,1
391,0
2363,0
295,1
4117,1
3980,1
1797,1
3247,1
2653,1
4813,1
314,1
991,0
4931,0
2633,1
1820,1
3821,1
785,1
4283,0
197,1
119,1
2444,1
4354,1
709,1
1172,1
4172,1
2757,1
698,0
3392,0
1237,1
4416,1
4128,1
3116,1
609,1
1455,1
3044,1
1984,1
2145,1
4200,1
4449,0
4673,1
881,1
1141,1
4864,1
641,1
4468,1
3455,1
1778,0
2210,1
750,1
1219,1
2015,1
1751,0
269,0
3481,1
2492,1
3870,0
3643,1
4045,1
4231,0
3234,1
2224,0
360,1
3897,0
1523,1
2744,1
45,1
3432,1
1914,1
3959,1
1930,1
4734,1
1557,1
2040,1
4161,1
282,1
4400,1
1706,1
2271,1
3977,0
1062,1
2810,1
551,1
3318,1
1711,0
1381,0
4809,0
3983,0
936,1
2722,0
3291,1
1631,1
2011,0
2597,1
1541,1
4199,1
3521,1
4588,1
968,0
1629,1
2043,0
392,1
4323,1
3112,1
4431,1
4660,0
4263,1
1818,1
4205,1
2550,1
4220,1
1231,1
4049,0
2978,1
1292,1
330,1
751,1
1481,1
2684,1
1319,1
3702,1
1213,1
3844,0
753,0
3171,1
4698,1
1392,1
3900,1
363,1
1327,1
616,0
4930,1
4378,0
249,1
4086,0
4193,1
85,0
4723,1
3534,1
3052,0
2929,0
3997,1
3361,1
4714,1
3324,1
4381,1
4384,1
784,1
3773,1
2243,0
4163,1
2312,1
601,1
4415,1
926,0
2140,1
944,1
3992,0
1695,1
1333,1
2428,1
580,1
